SK_sale,order_id,item_id,SK_customer,SK_product,SK_staff,SK_store,SK_order_status,SK_order_date,SK_required_date,SK_shipped_date,quantity,list_price,discount,discount_amount,revenue_usd,net_revenue_EGP,net_revenue_EUR,net_revenue_GBP,net_revenue_AED,net_revenue_SAR,is_late_delivery,delivery_status,locality
18,6,3,94.0,20,6.0,2.0,4.0,4.0,7.0,5.0,1,599.99,0.1,59.999,539.99,28900.41,466.35,405.98,1983.46,2026.92,0.0,On Time,Local
19,6,4,94.0,3,6.0,2.0,4.0,4.0,7.0,5.0,2,999.99,0.07,139.9986,1859.98,99546.62,1606.34,1398.4,6831.99,6981.67,0.0,On Time,Local
20,6,5,94.0,9,6.0,2.0,4.0,4.0,7.0,5.0,2,2999.99,0.07,419.9986,5579.98,298642.0,4819.05,4195.24,20496.1,20945.15,0.0,On Time,Local
21,7,1,324.0,15,6.0,2.0,4.0,4.0,7.0,5.0,1,529.99,0.07,37.09930000000001,492.89,26379.6,425.68,370.57,1810.46,1850.12,0.0,On Time,Local
22,7,2,324.0,3,6.0,2.0,4.0,4.0,7.0,5.0,1,999.99,0.1,99.99900000000001,899.99,48167.7,777.26,676.65,3305.8,3378.22,0.0,On Time,Local
23,7,3,324.0,17,6.0,2.0,4.0,4.0,7.0,5.0,2,429.0,0.1,85.80000000000001,772.2,41328.35,666.9,580.57,2836.41,2898.55,0.0,On Time,Local
24,6,5,94.0,9,6.0,2.0,4.0,4.0,7.0,5.0,2,2999.99,0.07,419.9986,5579.98,298642.0,4819.05,4195.24,20496.1,20945.15,0.0,On Time,Local
25,7,1,324.0,15,6.0,2.0,4.0,4.0,7.0,5.0,1,529.99,0.07,37.09930000000001,492.89,26379.6,425.68,370.57,1810.46,1850.12,0.0,On Time,Local
26,7,2,324.0,3,6.0,2.0,4.0,4.0,7.0,5.0,1,999.99,0.1,99.99900000000001,899.99,48167.7,777.26,676.65,3305.8,3378.22,0.0,On Time,Local
27,7,3,324.0,17,6.0,2.0,4.0,4.0,7.0,5.0,2,429.0,0.1,85.80000000000001,772.2,41328.35,666.9,580.57,2836.41,2898.55,0.0,On Time,Local
28,8,1,1204.0,22,7.0,2.0,4.0,4.0,5.0,5.0,1,269.99,0.05,13.499500000000001,256.49,13727.41,221.51,192.84,942.13,962.77,0.0,On Time,Local
29,8,2,1204.0,20,7.0,2.0,4.0,4.0,5.0,5.0,2,599.99,0.07,83.99860000000001,1115.98,59727.54,963.8,839.04,4099.16,4188.97,0.0,On Time,Local
30,9,1,60.0,7,2.0,1.0,4.0,5.0,8.0,8.0,2,3999.99,0.1,799.998,7199.98,385344.82,6218.13,5413.21,26446.61,27026.02,0.0,On Time,Local
31,10,1,442.0,14,6.0,2.0,4.0,5.0,6.0,6.0,1,269.99,0.1,26.999000000000002,242.99,13004.89,209.85,182.69,892.54,912.09,0.0,On Time,Local
32,11,1,1326.0,8,7.0,2.0,4.0,5.0,8.0,7.0,1,1799.99,0.05,89.99950000000001,1709.99,91519.11,1476.8,1285.63,6281.05,6418.66,0.0,On Time,Local
33,11,2,1326.0,22,7.0,2.0,4.0,5.0,8.0,7.0,2,269.99,0.1,53.998000000000005,485.98,26009.78,419.71,365.38,1785.08,1824.19,0.0,On Time,Local
34,11,3,1326.0,16,7.0,2.0,4.0,5.0,8.0,7.0,2,599.99,0.2,239.996,959.98,51378.38,829.07,721.75,3526.15,3603.4,0.0,On Time,Local
35,12,1,91.0,4,2.0,1.0,4.0,6.0,8.0,9.0,2,2899.99,0.1,579.9979999999999,5219.98,279374.7,4508.14,3924.57,19173.77,19593.85,1.0,Late,Local
36,12,2,91.0,11,2.0,1.0,4.0,6.0,8.0,9.0,1,1680.99,0.05,84.04950000000001,1596.94,85468.65,1379.17,1200.64,5865.8,5994.31,1.0,Late,Local
37,13,1,873.0,13,6.0,2.0,4.0,8.0,11.0,11.0,1,269.99,0.1,26.999000000000002,242.99,13004.89,209.85,182.69,892.54,912.09,0.0,On Time,Local
38,13,2,873.0,17,6.0,2.0,4.0,8.0,11.0,11.0,2,429.0,0.05,42.900000000000006,815.1,43624.37,703.95,612.82,2993.98,3059.58,0.0,On Time,Local
39,13,3,873.0,20,6.0,2.0,4.0,8.0,11.0,11.0,2,599.99,0.1,119.998,1079.98,57800.81,932.71,811.97,3966.93,4053.84,0.0,On Time,Local
40,13,4,873.0,16,6.0,2.0,4.0,8.0,11.0,11.0,2,599.99,0.05,59.999,1139.98,61012.03,984.52,857.08,4187.32,4279.06,0.0,On Time,Local
41,14,1,258.0,6,3.0,1.0,4.0,9.0,11.0,12.0,1,469.99,0.07,32.899300000000004,437.09,23393.17,377.48,328.62,1605.5,1640.67,1.0,Late,Local
42,15,1,450.0,12,7.0,2.0,4.0,9.0,10.0,12.0,2,549.99,0.07,76.99860000000001,1022.98,54750.16,883.48,769.11,3757.56,3839.88,1.0,Late,Local
43,15,2,450.0,8,7.0,2.0,4.0,9.0,10.0,12.0,1,1799.99,0.07,125.99930000000002,1673.99,89592.39,1445.71,1258.57,6148.82,6283.53,1.0,Late,Local
44,15,3,450.0,18,7.0,2.0,4.0,9.0,10.0,12.0,2,449.0,0.05,44.900000000000006,853.1,45658.14,736.76,641.39,3133.56,3202.22,1.0,Late,Local
45,15,4,450.0,23,7.0,2.0,4.0,9.0,10.0,12.0,2,299.99,0.2,119.99600000000001,479.98,25688.66,414.53,360.87,1763.04,1801.66,1.0,Late,Local
46,16,1,552.0,8,3.0,1.0,4.0,12.0,14.0,14.0,1,1799.99,0.2,359.99800000000005,1439.99,77068.64,1243.62,1082.64,5289.3,5405.18,0.0,On Time,Local
47,16,2,552.0,21,3.0,1.0,4.0,12.0,14.0,14.0,1,269.99,0.05,13.499500000000001,256.49,13727.41,221.51,192.84,942.13,962.77,0.0,On Time,Local
48,16,3,552.0,13,3.0,1.0,4.0,12.0,14.0,14.0,2,269.99,0.07,37.79860000000001,502.18,26876.81,433.7,377.56,1844.58,1885.0,0.0,On Time,Local
49,16,4,552.0,14,3.0,1.0,4.0,12.0,14.0,14.0,1,269.99,0.07,18.899300000000004,251.09,13438.4,216.85,188.78,922.29,942.5,0.0,On Time,Local
50,17,1,1175.0,8,3.0,1.0,4.0,12.0,13.0,13.0,1,1799.99,0.07,125.99930000000002,1673.99,89592.39,1445.71,1258.57,6148.82,6283.53,0.0,On Time,Local
51,17,2,1175.0,23,3.0,1.0,4.0,12.0,13.0,13.0,1,299.99,0.1,29.999000000000002,269.99,14449.94,233.17,202.99,991.71,1013.44,0.0,On Time,Local
52,17,3,1175.0,5,3.0,1.0,4.0,12.0,13.0,13.0,1,1320.99,0.1,132.09900000000002,1188.89,63629.71,1026.76,893.85,4366.97,4462.65,0.0,On Time,Local
53,17,4,1175.0,20,3.0,1.0,4.0,12.0,13.0,13.0,2,599.99,0.2,239.996,959.98,51378.38,829.07,721.75,3526.15,3603.4,0.0,On Time,Local
54,18,1,541.0,2,3.0,1.0,4.0,13.0,16.0,14.0,2,749.99,0.2,299.99600000000004,1199.98,64223.25,1036.34,902.19,4407.71,4504.27,0.0,On Time,Local
55,18,2,541.0,22,3.0,1.0,4.0,13.0,16.0,14.0,1,269.99,0.05,13.499500000000001,256.49,13727.41,221.51,192.84,942.13,962.77,0.0,On Time,Local
56,18,3,541.0,7,3.0,1.0,4.0,13.0,16.0,14.0,1,3999.99,0.1,399.999,3599.99,192672.41,3109.07,2706.61,13223.3,13513.01,0.0,On Time,Local
57,18,4,541.0,25,3.0,1.0,4.0,13.0,16.0,14.0,2,499.99,0.05,49.999,949.98,50843.18,820.43,714.23,3489.42,3565.87,0.0,On Time,Local
58,18,5,541.0,9,3.0,1.0,4.0,13.0,16.0,14.0,2,2999.99,0.1,599.9979999999999,5399.98,289008.35,4663.6,4059.9,19834.94,20269.5,0.0,On Time,Local
59,19,1,696.0,10,2.0,1.0,4.0,13.0,16.0,15.0,1,1549.0,0.07,108.43,1440.57,77099.69,1244.12,1083.07,5291.43,5407.36,0.0,On Time,Local
60,19,2,696.0,9,2.0,1.0,4.0,13.0,16.0,15.0,2,2999.99,0.2,1199.9959999999999,4799.98,256896.19,4145.42,3608.8,17631.05,18017.32,0.0,On Time,Local
61,20,1,923.0,9,2.0,1.0,4.0,13.0,15.0,16.0,1,2999.99,0.07,209.9993,2789.99,149321.0,2409.52,2097.62,10248.05,10472.58,1.0,Late,Local
62,20,2,923.0,10,2.0,1.0,4.0,13.0,15.0,16.0,2,1549.0,0.07,216.86,2881.14,154199.37,2488.24,2166.15,10582.86,10814.72,1.0,Late,Local
63,21,1,1250.0,14,6.0,2.0,4.0,14.0,15.0,17.0,1,269.99,0.05,13.499500000000001,256.49,13727.41,221.51,192.84,942.13,962.77,1.0,Late,Local
64,21,2,1250.0,17,6.0,2.0,4.0,14.0,15.0,17.0,1,429.0,0.1,42.900000000000006,386.1,20664.17,333.45,290.28,1418.2,1449.27,1.0,Late,Local
65,21,3,1250.0,10,6.0,2.0,4.0,14.0,15.0,17.0,1,1549.0,0.07,108.43,1440.57,77099.69,1244.12,1083.07,5291.43,5407.36,1.0,Late,Local
66,22,1,1035.0,15,2.0,1.0,4.0,15.0,17.0,16.0,2,529.99,0.2,211.996,847.98,45384.11,732.34,637.54,3114.76,3183.0,0.0,On Time,Local
67,22,2,1035.0,22,2.0,1.0,4.0,15.0,17.0,16.0,1,269.99,0.05,13.499500000000001,256.49,13727.41,221.51,192.84,942.13,962.77,0.0,On Time,Local
68,23,1,1149.0,4,2.0,1.0,4.0,15.0,18.0,18.0,2,2899.99,0.05,289.99899999999997,5509.98,294895.58,4758.6,4142.61,20238.98,20682.4,0.0,On Time,Local
69,23,2,1149.0,23,2.0,1.0,4.0,15.0,18.0,18.0,2,299.99,0.1,59.998000000000005,539.98,28899.87,466.34,405.98,1983.43,2026.88,0.0,On Time,Local
70,23,3,1149.0,13,2.0,1.0,4.0,15.0,18.0,18.0,1,269.99,0.2,53.998000000000005,215.99,11559.84,186.54,162.39,793.36,810.75,0.0,On Time,Local
71,24,1,636.0,3,7.0,2.0,4.0,17.0,19.0,18.0,2,999.99,0.1,199.99800000000002,1799.98,96335.4,1554.52,1353.29,6611.6,6756.45,0.0,On Time,Local
72,24,2,636.0,18,7.0,2.0,4.0,17.0,19.0,18.0,2,449.0,0.07,62.86000000000001,835.14,44696.91,721.25,627.89,3067.59,3134.8,0.0,On Time,Local
73,25,1,657.0,23,6.0,2.0,4.0,17.0,20.0,20.0,2,299.99,0.2,119.99600000000001,479.98,25688.66,414.53,360.87,1763.04,1801.66,0.0,On Time,Local
74,25,2,657.0,10,6.0,2.0,4.0,17.0,20.0,20.0,2,1549.0,0.2,619.6,2478.4,132644.62,2140.43,1863.35,9103.53,9302.98,0.0,On Time,Local
75,25,3,657.0,22,6.0,2.0,4.0,17.0,20.0,20.0,1,269.99,0.2,53.998000000000005,215.99,11559.84,186.54,162.39,793.36,810.75,0.0,On Time,Local
76,25,4,657.0,14,6.0,2.0,4.0,17.0,20.0,20.0,1,269.99,0.2,53.998000000000005,215.99,11559.84,186.54,162.39,793.36,810.75,0.0,On Time,Local
77,25,5,657.0,21,6.0,2.0,4.0,17.0,20.0,20.0,1,269.99,0.1,26.999000000000002,242.99,13004.89,209.85,182.69,892.54,912.09,0.0,On Time,Local
78,26,1,1280.0,7,7.0,2.0,4.0,17.0,20.0,18.0,1,3999.99,0.05,199.9995,3799.99,203376.46,3281.79,2856.97,13957.93,14263.74,0.0,On Time,Local
79,26,2,1280.0,2,7.0,2.0,4.0,17.0,20.0,18.0,1,749.99,0.2,149.99800000000002,599.99,32111.62,518.17,451.09,2203.85,2252.14,0.0,On Time,Local
80,26,3,1280.0,12,7.0,2.0,4.0,17.0,20.0,18.0,1,549.99,0.2,109.998,439.99,23548.38,379.99,330.8,1616.15,1651.56,0.0,On Time,Local
81,26,4,1280.0,21,7.0,2.0,4.0,17.0,20.0,18.0,2,269.99,0.07,37.79860000000001,502.18,26876.81,433.7,377.56,1844.58,1885.0,0.0,On Time,Local
82,27,1,57.0,5,7.0,2.0,4.0,18.0,20.0,19.0,1,1320.99,0.2,264.19800000000004,1056.79,56559.68,912.68,794.53,3881.75,3966.79,0.0,On Time,Local
83,27,2,57.0,19,7.0,2.0,4.0,18.0,20.0,19.0,1,449.0,0.2,89.80000000000001,359.2,19224.48,310.22,270.06,1319.4,1348.3,0.0,On Time,Local
84,27,3,57.0,26,7.0,2.0,4.0,18.0,20.0,19.0,2,599.99,0.07,83.99860000000001,1115.98,59727.54,963.8,839.04,4099.16,4188.97,0.0,On Time,Local
85,27,4,57.0,8,7.0,2.0,4.0,18.0,20.0,19.0,1,1799.99,0.07,125.99930000000002,1673.99,89592.39,1445.71,1258.57,6148.82,6283.53,0.0,On Time,Local
86,28,1,252.0,5,6.0,2.0,4.0,18.0,19.0,20.0,1,1320.99,0.05,66.04950000000001,1254.94,67164.72,1083.81,943.51,4609.58,4710.57,1.0,Late,Local
87,28,2,252.0,7,6.0,2.0,4.0,18.0,19.0,20.0,2,3999.99,0.2,1599.996,6399.98,342528.61,5527.23,4811.74,23508.09,24023.12,1.0,Late,Local
88,28,3,252.0,14,6.0,2.0,4.0,18.0,19.0,20.0,2,269.99,0.1,53.998000000000005,485.98,26009.78,419.71,365.38,1785.08,1824.19,1.0,Late,Local
89,28,4,252.0,6,6.0,2.0,4.0,18.0,19.0,20.0,1,469.99,0.05,23.4995,446.49,23896.26,385.6,335.69,1640.02,1675.96,1.0,Late,Local
90,29,1,437.0,24,6.0,2.0,4.0,19.0,21.0,20.0,2,549.99,0.05,54.999,1044.98,55927.6,902.48,785.65,3838.37,3922.46,0.0,On Time,Local
91,29,2,437.0,6,6.0,2.0,4.0,19.0,21.0,20.0,1,469.99,0.2,93.998,375.99,20123.08,324.72,282.68,1381.07,1411.33,0.0,On Time,Local
92,29,3,437.0,21,6.0,2.0,4.0,19.0,21.0,20.0,2,269.99,0.1,53.998000000000005,485.98,26009.78,419.71,365.38,1785.08,1824.19,0.0,On Time,Local
93,29,4,437.0,8,6.0,2.0,4.0,19.0,21.0,20.0,1,1799.99,0.2,359.99800000000005,1439.99,77068.64,1243.62,1082.64,5289.3,5405.18,0.0,On Time,Local
94,29,5,437.0,14,6.0,2.0,4.0,19.0,21.0,20.0,2,269.99,0.05,26.999000000000002,512.98,27454.82,443.03,385.68,1884.25,1925.53,0.0,On Time,Local
95,30,1,1348.0,26,6.0,2.0,4.0,19.0,20.0,20.0,1,599.99,0.05,29.9995,569.99,30506.01,492.26,428.54,2093.66,2139.53,0.0,On Time,Local
96,30,2,1348.0,17,6.0,2.0,4.0,19.0,20.0,20.0,1,429.0,0.07,30.03,398.97,21352.98,344.56,299.96,1465.48,1497.58,0.0,On Time,Local
97,30,3,1348.0,19,6.0,2.0,4.0,19.0,20.0,20.0,1,449.0,0.1,44.900000000000006,404.1,21627.54,348.99,303.82,1484.32,1516.84,0.0,On Time,Local
98,30,4,1348.0,4,6.0,2.0,4.0,19.0,20.0,20.0,1,2899.99,0.1,289.99899999999997,2609.99,139687.35,2254.07,1962.29,9586.88,9796.92,0.0,On Time,Local
99,30,5,1348.0,7,6.0,2.0,4.0,19.0,20.0,20.0,2,3999.99,0.1,799.998,7199.98,385344.82,6218.13,5413.21,26446.61,27026.02,0.0,On Time,Local
100,31,1,1238.0,11,8.0,3.0,4.0,19.0,21.0,21.0,2,1680.99,0.05,168.09900000000002,3193.88,170937.3,2758.34,2401.28,11731.6,11988.63,0.0,On Time,Local
101,31,2,1238.0,9,8.0,3.0,4.0,19.0,21.0,21.0,2,2999.99,0.2,1199.9959999999999,4799.98,256896.19,4145.42,3608.8,17631.05,18017.32,0.0,On Time,Local
102,32,1,1259.0,8,3.0,1.0,4.0,20.0,23.0,21.0,2,1799.99,0.07,251.99860000000004,3347.98,179184.77,2891.42,2517.14,12297.63,12567.06,0.0,On Time,Local
103,32,2,1259.0,12,3.0,1.0,4.0,20.0,23.0,21.0,2,549.99,0.07,76.99860000000001,1022.98,54750.16,883.48,769.11,3757.56,3839.88,0.0,On Time,Local
104,32,3,1259.0,25,3.0,1.0,4.0,20.0,23.0,21.0,2,499.99,0.1,99.998,899.98,48167.17,777.25,676.64,3305.76,3378.19,0.0,On Time,Local
105,33,1,236.0,23,6.0,2.0,4.0,20.0,21.0,21.0,2,299.99,0.07,41.9986,557.98,29863.24,481.89,419.51,2049.54,2094.45,0.0,On Time,Local
106,33,2,236.0,7,6.0,2.0,4.0,20.0,21.0,21.0,1,3999.99,0.1,399.999,3599.99,192672.41,3109.07,2706.61,13223.3,13513.01,0.0,On Time,Local
107,34,1,80.0,8,6.0,2.0,4.0,21.0,24.0,22.0,2,1799.99,0.07,251.99860000000004,3347.98,179184.77,2891.42,2517.14,12297.63,12567.06,0.0,On Time,Local
108,34,2,80.0,10,6.0,2.0,4.0,21.0,24.0,22.0,2,1549.0,0.1,309.8,2788.2,149225.2,2407.98,2096.27,10241.48,10465.86,0.0,On Time,Local
109,34,3,80.0,17,6.0,2.0,4.0,21.0,24.0,22.0,2,429.0,0.2,171.60000000000002,686.4,36736.31,592.8,516.06,2521.25,2576.49,0.0,On Time,Local
110,35,1,813.0,18,7.0,2.0,4.0,21.0,24.0,23.0,1,449.0,0.05,22.450000000000003,426.55,22829.07,368.38,320.7,1566.78,1601.11,0.0,On Time,Local
111,35,2,813.0,20,7.0,2.0,4.0,21.0,24.0,23.0,2,599.99,0.05,59.999,1139.98,61012.03,984.52,857.08,4187.32,4279.06,0.0,On Time,Local
112,35,3,813.0,5,7.0,2.0,4.0,21.0,24.0,23.0,1,1320.99,0.2,264.19800000000004,1056.79,56559.68,912.68,794.53,3881.75,3966.79,0.0,On Time,Local
113,35,4,813.0,21,7.0,2.0,4.0,21.0,24.0,23.0,2,269.99,0.07,37.79860000000001,502.18,26876.81,433.7,377.56,1844.58,1885.0,0.0,On Time,Local
114,35,5,813.0,22,7.0,2.0,4.0,21.0,24.0,23.0,1,269.99,0.07,18.899300000000004,251.09,13438.4,216.85,188.78,922.29,942.5,0.0,On Time,Local
115,36,1,1321.0,9,6.0,2.0,4.0,22.0,23.0,23.0,1,2999.99,0.07,209.9993,2789.99,149321.0,2409.52,2097.62,10248.05,10472.58,0.0,On Time,Local
116,36,2,1321.0,5,6.0,2.0,4.0,22.0,23.0,23.0,1,1320.99,0.05,66.04950000000001,1254.94,67164.72,1083.81,943.51,4609.58,4710.57,0.0,On Time,Local
117,36,3,1321.0,3,6.0,2.0,4.0,22.0,23.0,23.0,2,999.99,0.2,399.99600000000004,1599.98,85631.35,1381.79,1202.92,5876.97,6005.72,0.0,On Time,Local
118,37,1,164.0,16,6.0,2.0,4.0,24.0,27.0,25.0,2,599.99,0.05,59.999,1139.98,61012.03,984.52,857.08,4187.32,4279.06,0.0,On Time,Local
119,38,1,583.0,7,7.0,2.0,4.0,24.0,26.0,25.0,2,3999.99,0.05,399.999,7599.98,406752.93,6563.59,5713.95,27915.87,28527.47,0.0,On Time,Local
120,38,2,583.0,23,7.0,2.0,4.0,24.0,26.0,25.0,1,299.99,0.07,20.9993,278.99,14931.62,240.94,209.76,1024.77,1047.22,0.0,On Time,Local
121,38,3,583.0,25,7.0,2.0,4.0,24.0,26.0,25.0,1,499.99,0.2,99.998,399.99,21407.57,345.44,300.73,1469.22,1501.41,0.0,On Time,Local
122,38,4,583.0,10,7.0,2.0,4.0,24.0,26.0,25.0,2,1549.0,0.1,309.8,2788.2,149225.2,2407.98,2096.27,10241.48,10465.86,0.0,On Time,Local
123,38,5,583.0,24,7.0,2.0,4.0,24.0,26.0,25.0,1,549.99,0.07,38.499300000000005,511.49,27375.08,441.74,384.56,1878.78,1919.94,0.0,On Time,Local
124,39,1,1296.0,22,7.0,2.0,4.0,24.0,25.0,25.0,2,269.99,0.2,107.99600000000001,431.98,23119.68,373.07,324.78,1586.73,1621.49,0.0,On Time,Local
125,39,2,1296.0,16,7.0,2.0,4.0,24.0,25.0,25.0,2,599.99,0.2,239.996,959.98,51378.38,829.07,721.75,3526.15,3603.4,0.0,On Time,Local
126,39,3,1296.0,3,7.0,2.0,4.0,24.0,25.0,25.0,2,999.99,0.05,99.99900000000001,1899.98,101687.43,1640.88,1428.48,6978.91,7131.81,0.0,On Time,Local
127,39,4,1296.0,15,7.0,2.0,4.0,24.0,25.0,25.0,1,529.99,0.1,52.999,476.99,25528.63,411.94,358.62,1752.06,1790.44,0.0,On Time,Local
128,40,1,348.0,17,3.0,1.0,4.0,26.0,27.0,28.0,1,429.0,0.2,85.80000000000001,343.2,18368.15,296.4,258.03,1260.63,1288.24,1.0,Late,Local
129,40,2,348.0,8,3.0,1.0,4.0,26.0,27.0,28.0,2,1799.99,0.2,719.9960000000001,2879.98,154137.29,2487.24,2165.28,10578.6,10810.36,1.0,Late,Local
130,41,1,979.0,5,6.0,2.0,4.0,26.0,29.0,28.0,1,1320.99,0.1,132.09900000000002,1188.89,63629.71,1026.76,893.85,4366.97,4462.65,0.0,On Time,Local
131,41,2,979.0,19,6.0,2.0,4.0,26.0,29.0,28.0,2,449.0,0.2,179.60000000000002,718.4,38448.96,620.43,540.12,2638.79,2696.6,0.0,On Time,Local
132,41,3,979.0,26,6.0,2.0,4.0,26.0,29.0,28.0,2,599.99,0.2,239.996,959.98,51378.38,829.07,721.75,3526.15,3603.4,0.0,On Time,Local
133,42,1,1095.0,19,7.0,2.0,4.0,26.0,27.0,29.0,1,449.0,0.05,22.450000000000003,426.55,22829.07,368.38,320.7,1566.78,1601.11,1.0,Late,Local
134,43,1,1434.0,13,7.0,2.0,4.0,26.0,27.0,29.0,2,269.99,0.1,53.998000000000005,485.98,26009.78,419.71,365.38,1785.08,1824.19,1.0,Late,Local
135,43,2,1434.0,12,7.0,2.0,4.0,26.0,27.0,29.0,2,549.99,0.05,54.999,1044.98,55927.6,902.48,785.65,3838.37,3922.46,1.0,Late,Local
136,44,1,861.0,7,7.0,2.0,4.0,27.0,30.0,29.0,1,3999.99,0.1,399.999,3599.99,192672.41,3109.07,2706.61,13223.3,13513.01,0.0,On Time,Local
137,44,2,861.0,16,7.0,2.0,4.0,27.0,30.0,29.0,1,599.99,0.05,29.9995,569.99,30506.01,492.26,428.54,2093.66,2139.53,0.0,On Time,Local
138,45,1,1220.0,4,7.0,2.0,4.0,27.0,30.0,30.0,2,2899.99,0.2,1159.9959999999999,4639.98,248332.95,4007.24,3488.51,17043.34,17416.74,0.0,On Time,Local
139,45,2,1220.0,22,7.0,2.0,4.0,27.0,30.0,30.0,1,269.99,0.07,18.899300000000004,251.09,13438.4,216.85,188.78,922.29,942.5,0.0,On Time,Local
140,45,3,1220.0,21,7.0,2.0,4.0,27.0,30.0,30.0,2,269.99,0.05,26.999000000000002,512.98,27454.82,443.03,385.68,1884.25,1925.53,0.0,On Time,Local
141,46,1,746.0,17,7.0,2.0,4.0,28.0,30.0,30.0,1,429.0,0.1,42.900000000000006,386.1,20664.17,333.45,290.28,1418.2,1449.27,0.0,On Time,Local
142,47,1,1234.0,6,7.0,2.0,4.0,28.0,29.0,30.0,1,469.99,0.05,23.4995,446.49,23896.26,385.6,335.69,1640.02,1675.96,1.0,Late,Local
143,47,2,1234.0,15,7.0,2.0,4.0,28.0,29.0,30.0,1,529.99,0.1,52.999,476.99,25528.63,411.94,358.62,1752.06,1790.44,1.0,Late,Local
144,47,3,1234.0,25,7.0,2.0,4.0,28.0,29.0,30.0,2,499.99,0.07,69.99860000000001,929.98,49772.77,803.16,699.19,3415.96,3490.8,1.0,Late,Local
145,47,4,1234.0,13,7.0,2.0,4.0,28.0,29.0,30.0,1,269.99,0.2,53.998000000000005,215.99,11559.84,186.54,162.39,793.36,810.75,1.0,Late,Local
146,48,1,1012.0,11,7.0,2.0,4.0,29.0,31.0,32.0,1,1680.99,0.1,168.09900000000002,1512.89,80970.27,1306.58,1137.45,5557.07,5678.82,1.0,Late,Local
147,48,2,1012.0,4,7.0,2.0,4.0,29.0,31.0,32.0,1,2899.99,0.2,579.9979999999999,2319.99,124166.47,2003.62,1744.25,8521.67,8708.37,1.0,Late,Local
148,48,3,1012.0,5,7.0,2.0,4.0,29.0,31.0,32.0,2,1320.99,0.1,264.19800000000004,2377.78,127259.41,2053.53,1787.7,8733.94,8925.29,1.0,Late,Local
