order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,extraction_timestamp,data_source,order_status_name,latency_days,is_late_delivery,delivery_status,store_state,store_name,customer_state,is_local_customer,locality
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,TX,Rowlett Bikes,TX,1,Local
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
34,80,4,2016-01-22,2016-01-25,2016-01-23,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
35,813,4,2016-01-22,2016-01-25,2016-01-24,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
36,1321,4,2016-01-23,2016-01-24,2016-01-24,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
37,164,4,2016-01-25,2016-01-28,2016-01-26,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
38,583,4,2016-01-25,2016-01-27,2016-01-26,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
39,1296,4,2016-01-25,2016-01-26,2016-01-26,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
40,348,4,2016-01-27,2016-01-28,2016-01-29,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,CA,Santa Cruz Bikes,CA,1,Local
41,979,4,2016-01-27,2016-01-30,2016-01-29,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
42,1095,4,2016-01-27,2016-01-28,2016-01-30,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
43,1434,4,2016-01-27,2016-01-28,2016-01-30,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
44,861,4,2016-01-28,2016-01-31,2016-01-30,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
45,1220,4,2016-01-28,2016-01-31,2016-01-31,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
46,746,4,2016-01-29,2016-01-31,2016-01-31,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
47,1234,4,2016-01-29,2016-01-30,2016-01-31,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
48,1012,4,2016-01-30,2016-02-01,2016-02-02,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
49,608,4,2016-01-31,2016-02-01,2016-02-02,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
50,872,4,2016-01-31,2016-02-03,2016-02-02,3,8,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,TX,Rowlett Bikes,TX,1,Local
51,1047,4,2016-02-01,2016-02-02,2016-02-03,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
52,767,4,2016-02-03,2016-02-04,2016-02-05,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,CA,Santa Cruz Bikes,CA,1,Local
53,965,4,2016-02-03,2016-02-04,2016-02-05,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
54,535,4,2016-02-04,2016-02-07,2016-02-07,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
55,1173,4,2016-02-04,2016-02-07,2016-02-06,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
56,1241,4,2016-02-04,2016-02-06,2016-02-07,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
57,1305,4,2016-02-04,2016-02-06,2016-02-06,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
58,504,4,2016-02-05,2016-02-07,2016-02-07,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
59,563,4,2016-02-05,2016-02-07,2016-02-06,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
60,151,4,2016-02-06,2016-02-08,2016-02-07,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
61,277,4,2016-02-06,2016-02-09,2016-02-09,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
62,208,4,2016-02-07,2016-02-10,2016-02-10,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
63,1075,4,2016-02-07,2016-02-09,2016-02-09,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
64,1185,4,2016-02-07,2016-02-08,2016-02-09,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
65,996,4,2016-02-08,2016-02-09,2016-02-11,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
66,1253,4,2016-02-09,2016-02-12,2016-02-12,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
67,526,4,2016-02-09,2016-02-11,2016-02-10,3,8,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,TX,Rowlett Bikes,TX,1,Local
68,381,4,2016-02-10,2016-02-11,2016-02-13,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
69,1413,4,2016-02-10,2016-02-12,2016-02-11,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
71,797,4,2016-02-11,2016-02-14,2016-02-12,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
72,1386,4,2016-02-12,2016-02-15,2016-02-13,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
73,612,4,2016-02-12,2016-02-15,2016-02-14,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
74,264,4,2016-02-13,2016-02-15,2016-02-15,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
75,587,4,2016-02-14,2016-02-15,2016-02-17,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
77,385,4,2016-02-16,2016-02-19,2016-02-19,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
78,1182,4,2016-02-16,2016-02-18,2016-02-19,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
79,529,4,2016-02-17,2016-02-20,2016-02-20,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
80,397,4,2016-02-17,2016-02-20,2016-02-19,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
81,521,4,2016-02-17,2016-02-19,2016-02-18,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
82,1223,4,2016-02-18,2016-02-21,2016-02-20,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
83,393,4,2016-02-19,2016-02-20,2016-02-20,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
84,317,4,2016-02-20,2016-02-22,2016-02-21,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
85,1174,4,2016-02-20,2016-02-23,2016-02-21,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
86,276,4,2016-02-21,2016-02-22,2016-02-23,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
87,516,4,2016-02-21,2016-02-22,2016-02-23,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
88,1069,4,2016-02-21,2016-02-22,2016-02-23,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
89,668,4,2016-02-21,2016-02-24,2016-02-24,3,8,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,TX,Rowlett Bikes,TX,1,Local
90,414,4,2016-02-23,2016-02-25,2016-02-24,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
91,648,4,2016-02-25,2016-02-27,2016-02-28,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,CA,Santa Cruz Bikes,CA,1,Local
92,1309,4,2016-02-25,2016-02-28,2016-02-28,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
93,1328,4,2016-02-26,2016-02-28,2016-02-27,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
94,929,4,2016-02-27,2016-02-28,2016-02-29,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,CA,Santa Cruz Bikes,CA,1,Local
95,218,4,2016-02-27,2016-02-29,2016-02-28,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
96,1094,4,2016-02-27,2016-02-29,2016-02-28,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
97,204,4,2016-02-28,2016-02-29,2016-03-01,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
98,1194,4,2016-02-28,2016-02-29,2016-02-29,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
99,1165,4,2016-02-29,2016-03-01,2016-03-03,3,9,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,TX,Rowlett Bikes,TX,1,Local
100,1237,4,2016-03-01,2016-03-04,2016-03-03,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
101,271,4,2016-03-01,2016-03-04,2016-03-04,3,8,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,TX,Rowlett Bikes,TX,1,Local
102,336,4,2016-03-02,2016-03-05,2016-03-03,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
103,991,4,2016-03-03,2016-03-06,2016-03-05,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
104,7,4,2016-03-03,2016-03-05,2016-03-05,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
105,306,4,2016-03-03,2016-03-05,2016-03-04,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
106,422,4,2016-03-04,2016-03-05,2016-03-05,3,9,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,TX,Rowlett Bikes,TX,1,Local
107,633,4,2016-03-06,2016-03-09,2016-03-09,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
108,12,4,2016-03-06,2016-03-09,2016-03-07,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
109,1255,4,2016-03-06,2016-03-09,2016-03-09,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
110,677,4,2016-03-06,2016-03-08,2016-03-09,3,9,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,TX,Rowlett Bikes,TX,1,Local
111,630,4,2016-03-07,2016-03-10,2016-03-10,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
112,469,4,2016-03-08,2016-03-11,2016-03-10,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
113,1078,4,2016-03-08,2016-03-11,2016-03-11,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
114,1431,4,2016-03-08,2016-03-10,2016-03-11,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
115,1369,4,2016-03-09,2016-03-11,2016-03-11,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
116,471,4,2016-03-10,2016-03-11,2016-03-11,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
117,740,4,2016-03-10,2016-03-13,2016-03-11,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
118,577,4,2016-03-12,2016-03-14,2016-03-13,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
119,925,4,2016-03-12,2016-03-14,2016-03-14,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
120,327,4,2016-03-14,2016-03-15,2016-03-17,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
121,755,4,2016-03-14,2016-03-15,2016-03-16,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
122,786,4,2016-03-14,2016-03-16,2016-03-15,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
123,766,4,2016-03-15,2016-03-18,2016-03-17,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
124,403,4,2016-03-16,2016-03-18,2016-03-17,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
125,685,4,2016-03-16,2016-03-19,2016-03-17,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
126,1365,4,2016-03-16,2016-03-18,2016-03-18,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
127,484,4,2016-03-17,2016-03-18,2016-03-19,3,8,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,TX,Rowlett Bikes,TX,1,Local
128,86,4,2016-03-18,2016-03-20,2016-03-21,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
129,84,4,2016-03-19,2016-03-21,2016-03-21,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
130,1049,4,2016-03-19,2016-03-22,2016-03-20,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
131,316,4,2016-03-19,2016-03-22,2016-03-20,3,8,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,TX,Rowlett Bikes,TX,1,Local
132,46,4,2016-03-20,2016-03-22,2016-03-23,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,CA,Santa Cruz Bikes,CA,1,Local
133,409,4,2016-03-20,2016-03-22,2016-03-21,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
134,679,4,2016-03-20,2016-03-21,2016-03-21,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
135,1354,4,2016-03-21,2016-03-23,2016-03-23,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
136,1192,4,2016-03-21,2016-03-24,2016-03-23,3,8,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,TX,Rowlett Bikes,TX,1,Local
137,370,4,2016-03-23,2016-03-26,2016-03-25,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
138,438,4,2016-03-23,2016-03-24,2016-03-25,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,1,Late,NY,Baldwin Bikes,NY,1,Local
139,710,4,2016-03-23,2016-03-24,2016-03-26,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
140,1264,4,2016-03-23,2016-03-26,2016-03-26,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
141,557,4,2016-03-25,2016-03-27,2016-03-26,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
142,170,4,2016-03-26,2016-03-27,2016-03-27,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
143,693,4,2016-03-26,2016-03-28,2016-03-28,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
144,1124,4,2016-03-26,2016-03-29,2016-03-29,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
145,366,4,2016-03-27,2016-03-29,2016-03-30,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,NY,Baldwin Bikes,NY,1,Local
146,288,4,2016-03-28,2016-03-30,2016-03-30,1,3,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
147,55,4,2016-03-28,2016-03-31,2016-03-31,2,7,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,0,On Time,NY,Baldwin Bikes,NY,1,Local
148,714,4,2016-03-28,2016-03-30,2016-03-30,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
149,763,4,2016-03-28,2016-03-30,2016-03-29,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
150,332,4,2016-03-29,2016-03-31,2016-04-01,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,3,1,Late,CA,Santa Cruz Bikes,CA,1,Local
151,926,4,2016-03-29,2016-04-01,2016-03-31,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
152,76,4,2016-03-29,2016-03-30,2016-03-30,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,NY,Baldwin Bikes,NY,1,Local
153,498,4,2016-03-30,2016-04-02,2016-04-01,2,6,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,2,0,On Time,NY,Baldwin Bikes,NY,1,Local
154,1286,4,2016-03-31,2016-04-01,2016-04-01,1,2,2026-04-01 01:59:19.049783,PostgreSQl Server,Completed,1,0,On Time,CA,Santa Cruz Bikes,CA,1,Local
